"Team","Manager","Year","Score"
"Chicago White Sox","Rich Renteria",2018,-0.108913129801618
"Texas Rangers","Chris Woodward",2019,-0.105997527892006
"Colorado Rockies","Buddy Black",2017,-0.0913327403921863
"Los Angeles Angels of Anaheim","Brad Ausmus",2019,-0.0910694668976869
"Cleveland Indians","Terry Francona",2016,-0.0855235167299492
"Texas Rangers","Jeff Banister",2015,-0.0847705888268721
"Toronto Blue Jays","John Gibbons",2018,-0.0836278522034942
"Pittsburgh Pirates","Clint Hurdle",2016,-0.0794551827718901
"San Francisco Giants","Bruce Bochy",2019,-0.0780143602325276
"Philadelphia Phillies","Pete Mackanin",2017,-0.0715231709116563
"Chicago Cubs","Joe Maddon",2019,-0.0472894252360411
"Tampa Bay Rays","Kevin Cash",2016,-0.0429141967136354
"Los Angeles Dodgers","Don Mattingly",2015,-0.0344279768745578
"Atlanta Braves","Brian Snitker",2017,-0.0264904706302534
"Washington Nationals","Dave Martinez",2019,-0.0216162116420621
"Toronto Blue Jays","Charlie Montoyo",2019,0.0128539135125804
"Kansas City Royals","Ned Yost",2019,0.0206061251764828
"Atlanta Braves","Brian Snitker",2019,0.0236693815292895
"Arizona Diamondbacks","Torey Lovullo",2018,0.0287533949156292
"Baltimore Orioles","Buck Showalter",2018,0.0311183012088742
"Cleveland Indians","Terry Francona",2015,0.070630818969865
"Seattle Mariners","Scott Servais",2019,0.07461531244552
"Toronto Blue Jays","John Gibbons",2015,0.108020366654813
"Atlanta Braves","Fredi Gonzalez",2015,0.110341180786292
"Philadelphia Phillies","Pete Mackanin",2015,0.111264024011209
"Cincinnati Reds","Bryan Price",2015,0.131798173768967
"San Francisco Giants","Bruce Bochy",2017,0.167316058381285
"Oakland Athletics","Bob Melvin",2016,0.19550075250427
"Chicago White Sox","Robin Ventura",2015,0.196881106954209
"Washington Nationals","Dusty Baker",2017,0.200316176788068
"Kansas City Royals","Ned Yost",2018,0.237231588511619
"San Francisco Giants","Bruce Bochy",2016,0.276270882673191
"Oakland Athletics","Bob Melvin",2015,0.285954976401325
"Chicago White Sox","Robin Ventura",2016,0.287843554239386
"Colorado Rockies","Walt Weiss",2015,0.41272474016452
"New York Mets","Terry Collins",2015,0.452725088537105
"Los Angeles Angels of Anaheim","Mike Scioscia",2015,0.528487292975661
"Houston Astros","A. J. Hinch",2018,0.573013006179993
"Atlanta Braves","Brian Snitker",2016,0.614445088680085
"Los Angeles Angels of Anaheim","Mike Scioscia",2016,0.699832009167894
